Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
MMM,1,2.0,14.0,2.33e-05,0.00024403
AOS,2,2.0,8.0,0.00012832,0.00037122
ABT,3,2.0,15.0,2.526e-05,0.01354031
ABBV,4,2.0,13.0,4.481e-05,0.03150439
ABMD,5,2.0,12.0,0.00011801,0.00090416
ACN,6,2.0,6.0,2.818e-05,0.0400566
ATVI,7,2.0,13.0,5.787e-05,0.00420076
ADM,8,2.0,15.0,3.037e-05,0.07091378
ADBE,9,2.0,11.0,4.03e-05,0.01024198
ADP,10,2.0,8.0,2.804e-05,0.02623231
AAP,11,2.0,8.0,5.745e-05,0.01523694
AES,12,2.0,14.0,4.216e-05,0.02280356
AFL,13,2.0,13.0,3.5e-05,0.00019934
A,14,2.0,15.0,3.328e-05,0.06558307
APD,15,2.0,13.0,2.374e-05,0.0005434
AKAM,16,2.0,8.0,6.334e-05,0.00039482
ALK,17,2.0,9.0,0.00013868,0.00062856
ALB,18,2.0,15.0,6.282e-05,0.10692145
ARE,19,2.0,9.0,2.4e-05,0.00713941
ALGN,20,2.0,15.0,9.059e-05,0.07976679
ALLE,21,2.0,14.0,3.629e-05,0.00039378
LNT,22,1.0,10.0,5.742e-05,0.00017129
ALL,23,2.0,8.0,2.359e-05,0.00240279
GOOGL,24,4.0,14.0,0.00010893,2.8910209
GOOG,25,4.0,15.0,4.152e-05,3.57110464
MO,26,2.0,3.0,2.452e-05,0.00025196
AMZN,27,4.0,7.0,5.825e-05,0.32384947
AMCR,28,2.0,7.0,5.148e-05,0.0004517
AMD,29,2.0,14.0,0.00020016,0.02517682
AEE,30,2.0,15.0,2.288e-05,0.00218617
AAL,31,2.0,9.0,0.00014047,0.00127305
AEP,32,2.0,15.0,2.04e-05,0.00016297
AXP,33,2.0,15.0,3.797e-05,0.0241537
AIG,34,2.0,14.0,5.042e-05,0.0003914
AMT,35,2.0,8.0,2.632e-05,0.00207604
AWK,36,2.0,15.0,2.316e-05,0.01041484
AMP,37,2.0,6.0,5.235e-05,0.10416793
ABC,38,2.0,10.0,3.404e-05,0.02205572
AME,39,4.0,15.0,3.45e-05,0.04293945
AMGN,40,2.0,15.0,3.181e-05,0.00062474
APH,41,1.0,10.0,0.00010257,0.00462969
ADI,42,2.0,15.0,3.755e-05,0.05983537
ANSS,43,2.0,8.0,3.442e-05,0.00362503
AON,44,2.0,6.0,2.206e-05,0.02273897
APA,45,2.0,6.0,0.00013462,0.00242787
AAPL,46,2.0,10.0,4.558e-05,0.00038602
AMAT,47,2.0,8.0,6.174e-05,0.18652598
APTV,48,2.0,14.0,7.366e-05,0.06759172
ACGL,49,2.0,11.0,0.00018546,0.00033638
ANET,50,2.0,12.0,0.00010782,0.01541805
AJG,51,2.0,15.0,2.113e-05,0.0864232
AIZ,52,2.0,15.0,3.223e-05,0.01647953
T,53,2.0,15.0,2.078e-05,0.09353341
ATO,54,2.0,15.0,2.115e-05,0.00021877
ADSK,55,2.0,10.0,6.968e-05,0.01121054
AZO,56,2.0,7.0,3.024e-05,0.09869409
AVB,57,2.0,15.0,2.462e-05,0.00169058
AVY,58,2.0,15.0,3.519e-05,0.07270562
BKR,59,2.0,15.0,8.297e-05,0.00080048
BALL,60,2.0,12.0,8.703e-05,0.00474189
