Stock Name,Stock Id,Imputation Method,Percentage MSE
MMM,1,2.0,3.727e-05
AOS,2,2.0,0.00012303
ABT,3,2.0,8.407e-05
ABBV,4,2.0,6.465e-05
ABMD,5,2.0,0.00015706
ACN,6,2.0,4.063e-05
ATVI,7,2.0,9.828e-05
ADM,8,2.0,6.781e-05
ADBE,9,2.0,6.556e-05
ADP,10,2.0,3.762e-05
AAP,11,2.0,7.663e-05
AES,12,2.0,0.00014675
AFL,13,2.0,0.00010103
A,14,2.0,6.323e-05
APD,15,2.0,3.688e-05
AKAM,16,2.0,9.718e-05
ALK,17,2.0,0.00019392
ALB,18,2.0,0.00012572
ARE,19,2.0,3.764e-05
ALGN,20,2.0,0.00013592
ALLE,21,2.0,5.374e-05
LNT,22,1.0,9.023e-05
ALL,23,2.0,4.427e-05
GOOGL,24,4.0,0.01923436
GOOG,25,4.0,0.02149285
MO,26,2.0,5.44e-05
AMZN,27,4.0,0.01084763
AMCR,28,2.0,0.00013093
AMD,29,2.0,0.00043338
AEE,30,2.0,4.114e-05
AAL,31,2.0,0.00027676
AEP,32,2.0,3.751e-05
AXP,33,2.0,6.497e-05
AIG,34,2.0,0.00010414
AMT,35,2.0,4.043e-05
AWK,36,2.0,3.557e-05
AMP,37,2.0,7.902e-05
ABC,38,2.0,6.178e-05
AME,39,4.0,6.746e-05
AMGN,40,2.0,4.936e-05
APH,41,1.0,0.00016269
ADI,42,2.0,6.849e-05
ANSS,43,2.0,5.733e-05
AON,44,2.0,3.665e-05
APA,45,2.0,0.00032483
AAPL,46,2.0,0.00146869
AMAT,47,2.0,0.000117
APTV,48,2.0,0.00012969
ACGL,49,2.0,0.00043169
ANET,50,2.0,0.00059912
AJG,51,2.0,3.549e-05
AIZ,52,2.0,5.29e-05
T,53,2.0,6.272e-05
ATO,54,2.0,3.924e-05
ADSK,55,2.0,0.00010084
AZO,56,2.0,3.734e-05
AVB,57,2.0,4.541e-05
AVY,58,2.0,5.797e-05
BKR,59,2.0,0.00020839
BALL,60,2.0,0.00010625
BAC,61,2.0,0.00011566
BBWI,62,2.0,0.00016681
BAX,63,2.0,0.00011653
BDX,64,2.0,3.333e-05
WRB,65,2.0,6.742e-05
BBY,66,2.0,0.00014958
BIO,67,2.0,5.2e-05
TECH,68,2.0,5.026e-05
BIIB,69,2.0,0.00013577
BLK,70,2.0,4.991e-05
BK,71,2.0,7.495e-05
BA,72,2.0,9.97e-05
BKNG,73,2.0,6.703e-05
BWA,74,2.0,0.00014879
BXP,75,2.0,6.03e-05
BSX,76,2.0,9.322e-05
BMY,77,2.0,7.37e-05
AVGO,78,2.0,8.656e-05
BR,79,2.0,3.991e-05
BRO,80,1.0,9.125e-05
CHRW,81,2.0,6.013e-05
CDNS,82,2.0,7.216e-05
CZR,83,2.0,0.00033415
CPT,84,2.0,4.622e-05
CPB,85,2.0,7.027e-05
COF,86,2.0,9.312e-05
CAH,87,2.0,8.209e-05
KMX,88,2.0,0.00010128
CCL,89,2.0,0.00022535
CARR,90,2.0,0.00012536
CTLT,91,2.0,0.0001271
CAT,92,2.0,6.76e-05
CBOE,93,2.0,4.938e-05
CBRE,94,2.0,9.528e-05
CDW,95,2.0,5.781e-05
CE,96,2.0,7.913e-05
CNC,97,2.0,0.00022235
CNP,98,2.0,8.367e-05
CDAY,99,2.0,0.00017116
CF,100,2.0,0.00066872
CRL,101,2.0,6.792e-05
SCHW,102,2.0,0.0001134
CHTR,103,2.0,5.49e-05
CVX,104,2.0,6.617e-05
CMG,105,2.0,7.938e-05
CB,106,2.0,3.829e-05
CHD,107,1.0,7.239e-05
CI,108,2.0,5.76e-05
CINF,109,2.0,6.189e-05
CTAS,110,2.0,4.11e-05
CSCO,111,2.0,6.765e-05
C,112,2.0,0.00011555
CFG,113,2.0,0.0001475
CLX,114,2.0,3.491e-05
CME,115,2.0,0.0004535
CMS,116,2.0,4.095e-05
KO,117,2.0,8.852e-05
CTSH,118,2.0,0.00012763
CL,119,2.0,6.209e-05
CMCSA,120,2.0,0.00011039
CMA,121,2.0,0.00012176
CAG,122,2.0,0.00010267
COP,123,2.0,0.00011638
ED,124,2.0,4.165e-05
STZ,125,2.0,6.97e-05
CEG,126,2.0,0.00014054
COO,127,2.0,4.595e-05
CPRT,128,1.0,0.00022571
GLW,129,2.0,0.00011147
CTVA,130,2.0,0.00012046
CSGP,131,2.0,0.00267949
COST,132,2.0,2.845e-05
CTRA,133,2.0,0.00024982
CCI,134,2.0,3.965e-05
CSX,135,2.0,0.00025988
CMI,136,2.0,5.51e-05
CVS,137,2.0,5.642e-05
DHI,138,2.0,0.00012489
DHR,139,2.0,3.739e-05
DRI,140,2.0,9.425e-05
DVA,141,2.0,9.876e-05
DE,142,2.0,5.952e-05
DAL,143,2.0,0.00016418
XRAY,144,2.0,8.344e-05
DVN,145,2.0,0.00025103
DXCM,146,2.0,0.00056641
FANG,147,2.0,0.00021985
DLR,148,2.0,5.511e-05
DFS,149,2.0,0.00010532
DISH,150,2.0,0.0001482
DIS,151,2.0,5.707e-05
DG,152,2.0,4.62e-05
DLTR,153,2.0,0.0002028
D,154,2.0,5.365e-05
DPZ,155,2.0,5.471e-05
DOV,156,2.0,6.7e-05
DOW,157,2.0,0.00014154
DTE,158,2.0,4.076e-05
DUK,159,1.0,0.00023109
DD,160,2.0,0.00014777
DXC,161,2.0,0.00025898
EMN,162,2.0,9.007e-05
ETN,163,2.0,6.982e-05
EBAY,164,2.0,0.00016036
ECL,165,2.0,4.387e-05
EIX,166,2.0,8.314e-05
EW,167,2.0,0.00028269
EA,168,2.0,8.62e-05
ELV,169,2.0,5.322e-05
LLY,170,2.0,4.415e-05
EMR,171,2.0,6.64e-05
ENPH,172,2.0,0.00086137
ETR,173,2.0,4.546e-05
EOG,174,2.0,0.00018057
EPAM,175,2.0,0.00016958
EQT,176,2.0,0.00021931
EFX,177,2.0,5.604e-05
EQIX,178,2.0,4.803e-05
EQR,179,2.0,5.955e-05
ESS,180,2.0,4.227e-05
EL,181,2.0,0.00010233
ETSY,182,2.0,0.00033426
RE,183,2.0,4.151e-05
EVRG,184,2.0,7.216e-05
ES,185,2.0,4.514e-05
EXC,186,2.0,8.121e-05
EXPE,187,2.0,0.00015014
EXPD,188,2.0,4.934e-05
EXR,189,2.0,4.852e-05
XOM,190,2.0,6.197e-05
FFIV,191,2.0,7.778e-05
FDS,192,2.0,4.568e-05
FAST,193,1.0,0.00013443
FRT,194,2.0,5.7e-05
FDX,195,2.0,7.447e-05
FITB,196,2.0,0.00012823
FRC,197,2.0,5.973e-05
FE,198,2.0,0.00010193
FIS,199,2.0,6.42e-05
FISV,200,2.0,0.00011643
FLT,201,2.0,6.86e-05
FMC,202,2.0,0.00013867
F,203,2.0,0.0001676
FTNT,204,1.0,0.00076232
FTV,205,2.0,7.134e-05
FBHS,206,2.0,9.427e-05
FOXA,207,2.0,0.00012329
FOX,208,2.0,0.00012831
BEN,209,1.0,0.00023498
FCX,210,2.0,0.00032749
GRMN,211,2.0,6.594e-05
IT,212,2.0,5.63e-05
GEN,213,2.0,0.00019311
GNRC,214,2.0,0.00013438
GD,215,2.0,3.596e-05
GE,216,4.0,0.00016903
GIS,217,2.0,4.548e-05
GM,218,2.0,0.00013781
GPC,219,2.0,5.287e-05
GILD,220,4.0,0.00012135
GL,221,2.0,6.006e-05
GPN,222,2.0,0.00017585
GS,223,2.0,5.77e-05
HAL,224,2.0,0.00018369
HIG,225,2.0,8.58e-05
HAS,226,2.0,7.964e-05
HCA,227,2.0,8.237e-05
PEAK,228,2.0,9.873e-05
HSIC,229,1.0,0.00015813
HSY,230,2.0,3.153e-05
HES,231,2.0,0.00017986
HPE,232,2.0,0.00021945
HLT,233,1.0,0.00010226
HOLX,234,2.0,7.873e-05
HD,235,2.0,3.737e-05
HON,236,2.0,3.821e-05
HRL,237,2.0,8.125e-05
HST,238,2.0,0.00016034
HWM,239,1.0,0.00051641
HPQ,240,2.0,0.00019693
HUM,241,2.0,5.668e-05
HBAN,242,2.0,0.00017998
HII,243,2.0,5.162e-05
IBM,244,2.0,4.622e-05
IEX,245,2.0,3.766e-05
IDXX,246,2.0,0.00010687
ITW,247,2.0,3.985e-05
ILMN,248,2.0,0.00011373
INCY,249,2.0,0.00016119
IR,250,2.0,0.00013469
INTC,251,2.0,0.00010533
ICE,252,1.0,0.00058563
IP,253,2.0,9.456e-05
IPG,254,2.0,0.00011829
IFF,255,2.0,5.753e-05
INTU,256,2.0,6.146e-05
ISRG,257,1.0,0.00032597
IVZ,258,2.0,0.00014807
INVH,259,2.0,7.964e-05
IQV,260,2.0,6.324e-05
IRM,261,2.0,0.00011843
JBHT,262,2.0,5.422e-05
JKHY,263,2.0,3.198e-05
J,264,2.0,6.392e-05
JNJ,265,2.0,2.591e-05
JCI,266,2.0,0.0001249
JPM,267,2.0,5.911e-05
JNPR,268,2.0,0.00013513
K,269,2.0,5.455e-05
KDP,270,4.0,0.0006642
KEY,271,2.0,0.00017649
KEYS,272,2.0,7.285e-05
KMB,273,2.0,3.677e-05
KIM,274,2.0,0.00012416
KMI,275,2.0,0.00012301
KLAC,276,2.0,9.768e-05
KHC,277,2.0,7.764e-05
KR,278,1.0,0.00013159
LHX,279,2.0,4.401e-05
LH,280,2.0,4.858e-05
LRCX,281,2.0,9.43e-05
LW,282,2.0,8.613e-05
LVS,283,2.0,0.00014738
LDOS,284,4.0,0.00015875
LEN,285,2.0,0.00012156
LNC,286,2.0,0.00019794
LIN,287,2.0,5.695e-05
LYV,288,2.0,0.00013009
LKQ,289,2.0,0.00022397
LMT,290,2.0,3.214e-05
L,291,2.0,6.739e-05
LOW,292,2.0,5.978e-05
LUMN,293,2.0,0.00017929
LYB,294,2.0,0.00011649
MTB,295,2.0,6.571e-05
MRO,296,2.0,0.00032924
MPC,297,2.0,0.00022715
MKTX,298,2.0,6.67e-05
MAR,299,2.0,7.566e-05
MMC,300,2.0,2.943e-05
MLM,301,2.0,7.079e-05
MAS,302,2.0,9.71e-05
MA,303,1.0,0.00232787
MTCH,304,2.0,0.00019449
MKC,305,2.0,9.628e-05
MCD,306,2.0,2.742e-05
MCK,307,2.0,5.67e-05
MDT,308,2.0,4.02e-05
MRK,309,2.0,4.327e-05
META,310,2.0,0.00011311
MET,311,2.0,0.00011124
MTD,312,2.0,4.437e-05
MGM,313,2.0,0.00021312
MCHP,314,2.0,0.00013082
MU,315,2.0,0.00019124
MSFT,316,2.0,5.297e-05
MAA,317,2.0,4.493e-05
MRNA,318,2.0,0.0004255
MHK,319,2.0,0.00011634
MOH,320,2.0,0.0001233
TAP,321,2.0,7.981e-05
MDLZ,322,2.0,8.171e-05
MPWR,323,2.0,0.00010548
MNST,324,2.0,0.00033704
MCO,325,2.0,5.805e-05
MS,326,2.0,9.994e-05
MOS,327,2.0,0.0001714
MSI,328,2.0,4.484e-05
MSCI,329,2.0,7.199e-05
NDAQ,330,2.0,0.0002255
NTAP,331,2.0,0.00010141
NFLX,332,2.0,0.00131981
NWL,333,2.0,0.00015403
